genes,reaction,Phase
CHSY1,GLCAT5g,S
CHSY3,GALNACT2g,S
CHSY3,GALNACT3g,S
CHSY3,GALNACT4g,S
CHSY3,GALNACT5g,S
CHSY3,GLCAT2g,S
CHSY3,GLCAT3g,S
CHSY3,GLCAT4g,S
CHSY3,GLCAT5g,S
CKB,CKc,S
CKM,CKc,S
CKMT1B,CK,S
CKMT2,CK,S
CLC,LPASE,S
CMAS,CMPSAS,S
CMAS,CMPSASn,S
CMPK1,CYTK1,S
CMPK1,CYTK10,S
CMPK1,CYTK10n,S
CMPK1,CYTK11,S
CMPK1,CYTK11n,S
CMPK1,CYTK12,S
CMPK1,CYTK12n,S
CMPK1,CYTK13,S
CMPK1,CYTK13n,S
CMPK1,CYTK14,S
CMPK1,CYTK14n,S
CMPK1,CYTK1n,S
CMPK1,CYTK2,S
CMPK1,CYTK2n,S
CMPK1,CYTK3n,S
CMPK1,CYTK4n,S
CMPK1,CYTK5,S
CMPK1,CYTK5n,S
CMPK1,CYTK6,S
CMPK1,CYTK6n,S
CMPK1,CYTK7,S
CMPK1,CYTK7n,S
CMPK1,CYTK8,S
CMPK1,CYTK8n,S
CMPK1,CYTK9,S
CMPK1,CYTK9n,S
CMPK1,UMPK,S
CMPK1,UMPK2,S
CMPK1,UMPK2n,S
CMPK1,UMPK3,S
CMPK1,UMPK3n,S
CMPK1,UMPK4,S
CMPK1,UMPK4n,S
CMPK1,UMPK5,S
CMPK1,UMPK5n,S
CMPK1,UMPK6,S
CMPK1,UMPK6n,S
CMPK1,UMPK7,S
CMPK1,UMPK7n,S
CMPK1,UMPKn,S
CNDP1,NBAHH_ir,S
COASY,DPCOAK,S
COASY,PTPAT,S
COL4A3BP,CERT1gt,S
COL4A3BP,CERT1rt,S
COL4A3BP,CERT2gt,S
COL4A3BP,CERT2rt,S
COMTD1,SALMCOM,S
COMTD1,SALMCOM2,S
COQ2,HBZOPT10m,S
COQ3,COQ3m,S
COQ3,DHDPBMTm,S
COQ7,COQ7m,S
COX1,CYOOm3,S
COX2,CYOOm3,S
COX4I1,CYOOm3,S
COX4I2,CYOOm3,S
COX5A,CYOOm3,S
COX5B,CYOOm3,S
COX6A1,CYOOm3,S
COX6A2,CYOOm3,S
COX6B1,CYOOm3,S
COX6B2,CYOOm3,S
COX6C,CYOOm3,S
COX7A1,CYOOm3,S
COX7A2,CYOOm3,S
COX7A2L,CYOOm3,S
COX7B,CYOOm3,S
COX7B2,CYOOm3,S
COX7C,CYOOm3,S
COX8A,CYOOm3,S
CPOX,CPPPGO,S
CPT1A,ADRNCPT1,S
CPT1A,ARACHCPT1,S
CPT1A,C160CPT1,S
CPT1A,C161CPT1,S
CPT1A,C161CPT12,S
CPT1A,C180CPT1,S
CPT1A,C181CPT1,S
CPT1A,C204CPT1,S
CPT1A,C226CPT1,S
CPT1A,CLPNDCPT1,S
CPT1A,DCSPTN1CPT1,S
CPT1A,DLNLCGCPT1,S
CPT1A,EICOSTETCPT1,S
CPT1A,ELAIDCPT1,S
CPT1A,HEXCCPT1,S
CPT1A,HPDCACRNCPT1,S
CPT1A,LGNCCPT1,S
CPT1A,LNELDCCPT1,S
CPT1A,LNLCCPT1,S
CPT1A,LNLNCACPT1,S
CPT1A,LNLNCGCPT1,S
CPT1A,NRVNCCPT1,S
CPT1A,PTDCACRNCPT1,S
CPT1A,RTOTAL2CRNCPT1,S
CPT1A,RTOTAL3CRNCPT1,S
CPT1A,RTOTALCRNCPT1,S
CPT1A,STRDNCCPT1,S
CPT1A,TETPENT3CPT1,S
CPT1A,TETPENT6CPT1,S
CPT1A,TETTET6CPT1,S
CPT1A,TMNDNCCPT1,S
CPT1A,TTDCPT1,S
CPT1A,VACCCPT1,S
CPT1C,ADRNCPT1,S
CPT1C,ARACHCPT1,S
CPT1C,C160CPT1,S
CPT1C,C161CPT1,S
CPT1C,C161CPT12,S
CPT1C,C180CPT1,S
CPT1C,C181CPT1,S
CPT1C,C204CPT1,S
CPT1C,C226CPT1,S
CPT1C,CLPNDCPT1,S
CPT1C,DCSPTN1CPT1,S
CPT1C,DLNLCGCPT1,S
CPT1C,EICOSTETCPT1,S
CPT1C,ELAIDCPT1,S
CPT1C,HEXCCPT1,S
CPT1C,HPDCACRNCPT1,S
CPT1C,LGNCCPT1,S
CPT1C,LNELDCCPT1,S
CPT1C,LNLCCPT1,S
CPT1C,LNLNCACPT1,S
CPT1C,LNLNCGCPT1,S
CPT1C,NRVNCCPT1,S
CPT1C,PTDCACRNCPT1,S
CPT1C,RTOTAL2CRNCPT1,S
CPT1C,RTOTAL3CRNCPT1,S
CPT1C,RTOTALCRNCPT1,S
CPT1C,STRDNCCPT1,S
CPT1C,TETPENT3CPT1,S
CPT1C,TETPENT6CPT1,S
CPT1C,TETTET6CPT1,S
CPT1C,TMNDNCCPT1,S
CPT1C,TTDCPT1,S
CPT1C,VACCCPT1,S
CPT2,ADRNCPT2,S
CPT2,ARACHCPT2,S
CPT2,C160CPT2,S
CPT2,C161CPT2,S
CPT2,C161CPT22,S
CPT2,C180CPT2,S
CPT2,C181CPT2,S
CPT2,C204CPT2,S
CPT2,C226CPT2,S
CPT2,CLPNDCPT2,S
CPT2,DCSPTN1CPT2,S
CPT2,DLNLCGCPT2,S
CPT2,EICOSTETCPT2,S
CPT2,ELAIDCPT2,S
CPT2,HEXCCPT2,S
CPT2,HPDCACRNCPT2,S
CPT2,LGNCCPT2,S
CPT2,LNELDCCPT2,S
CPT2,LNLCCPT2,S
CPT2,LNLNCACPT2,S
CPT2,LNLNCGCPT2,S
CPT2,NRVNCCPT2,S
CPT2,PTDCACRNCPT2,S
CPT2,RTOTAL2CRNCPT2,S
CPT2,RTOTAL3CRNCPT2,S
CPT2,RTOTALCRNCPT2,S
CPT2,STRDNCCPT2,S
CPT2,TETPENT3CPT2,S
CPT2,TETPENT6CPT2,S
CPT2,TETTET6CPT2,S
CPT2,TMNDNCCPT2,S
CPT2,TTDCPT2,S
CPT2,VACCCPT2,S
CRLS1,CLS_hs,S
CROT,CSNAT2x,S
CSAD,3SALACBOXL,S
CSAD,LCYSTCBOXL,S
CSGALNACT1,GALNACT1g,S
CSGALNACT1,GALNACT2g,S
CSGALNACT1,GALNACT3g,S
CSGALNACT1,GALNACT4g,S
CSGALNACT1,GALNACT5g,S
CSGALNACT2,GALNACT1g,S
CSGALNACT2,GALNACT2g,S
CSGALNACT2,GALNACT3g,S
CSGALNACT2,GALNACT4g,S
CSGALNACT2,GALNACT5g,S
CTPS,CTPS1,S
CTSA,GALASE10ly,S
CTSA,GALASE11ly,S
CTSA,GALASE12ly,S
CTSA,GALASE13ly,S
CTSA,GALASE14ly,S
CTSA,GALASE15ly,S
CTSA,GALASE16ly,S
CTSA,GALASE17ly,S
CTSA,GALASE18ly,S
CTSA,GALASE19ly,S
CTSA,GALASE1ly,S
CTSA,GALASE20ly,S
CTSA,GALASE3ly,S
CTSA,GALASE4ly,S
CTSA,GALASE5ly,S
CTSA,GALASE6ly,S
CTSA,GALASE7ly,S
CTSA,GALASE8ly,S
CTSA,GALASE9ly,S
CTSA,GLB1,S
CTSA,LACZly,S
CTSA,S6TASE10ly,S
CTSA,S6TASE22ly,S
CTSA,S6TASE25ly,S
CTSA,S6TASE4ly,S
CTSA,S6TASE5ly,S
CTSA,S6TASE6ly,S
CTSA,S6TASE7ly,S
CTSA,S6TASE8ly,S
CTSA,S6TASE9ly,S
CTSA,SIAASE2ly,S
CTSA,SIAASE3ly,S
CTSA,SIAASE4ly,S
CTSA,SIAASEly,S
CYB5D1,L_LACDcm,S
CYBRD1,FE3R2e,S
CYC1,CYOR_u10m,S
CYP11A1,P45011A1m,S
CYP11B1,P45011B11m,S
CYP11B1,P45011B12m,S
CYP11B2,P45011B21m,S
CYP17A1,P45017A1r,S
CYP17A1,P45017A2r,S
CYP17A1,P45017A3r,S
CYP17A1,P45017A4r,S
CYP1A1,MELATNOX,S
CYP1A2,MELATNOX,S
CYP1B1,MELATNOX,S
CYP1B1,P4501B1r,S
CYP21A2,P45021A1r,S
CYP21A2,P45021A2r,S
CYP24A1,"24,25VITD2Hm",S
CYP24A1,"24,25VITD3Hm",S
CYP27A1,P45027A11m,S
CYP27A1,P45027A12m,S
CYP27A1,P45027A13m,S
CYP27A1,P45027A14m,S
CYP27A1,P45027A15m,S
CYP27A1,P45027A16m,S
CYP27A1,P45027A1m,S
CYP27A1,VITD2Hm,S
CYP27A1,VITD3Hm,S
CYP27B1,25VITD2Hm,S
CYP27B1,25VITD3Hm,S
CYP2A13,P4502A6,S
CYP2A6,P4502A6,S
CYP2C18,P4502C18,S
CYP2C19,MELATNOX,S
CYP2C19,P4502C19,S
CYP2C19,P4502C92,S
CYP2C19,P4502C93,S
CYP2C19,P4502C94,S
CYP2C9,P4502C9,S
CYP2C9,P4502C92,S
CYP2C9,P4502C93,S
CYP2C9,P4502C94,S
CYP2D6,P4502D6,S
CYP2E1,ACTLMO,S
CYP2E1,ACTNMO,S
CYP2E1,ETOHMO,S
CYP2E1,P4502E1,S
CYP2F1,P4502F1,S
CYP2F1,P4504B1r,S
CYP39A1,P45039A1r,S
CYP3A4,P4503A4,S
CYP3A5,P4503A5,S
CYP3A7,P4503A7r,S
CYP46A1,P45046A1r,S
CYP4A11,FAH1,S
CYP4A11,FAH2,S
CYP4A11,FAH3,S
CYP4F12,P4504F121r,S
CYP4F12,P4504F122r,S
CYP4F12,P4504F123r,S
CYP4F2,P4504F122r,S
CYP4F3,P4504F122r,S
CYP4F8,LNS14DM,S
CYP4F8,P4504F81r,S
CYP51A1,LNS14DMr,S
CYP7A1,P4507A1r,S
CYP7B1,P4507B11r,S
CYP7B1,P4507B12r,S
CYP8B1,P4508B11r,S
CYP8B1,P4508B13r,S
CYTB,CYOR_u10m,S
DAD1,DOLASNT_Ler,S
DAD1,DOLASNT_Uer,S
DAO,DALAOXx,S
DAO,DARGOp,S
DAO,DORNOp,S
DAO,DPROOp,S
DBH,DOPABMO,S
DBT,OIVD1m,S
DBT,OIVD2m,S
DBT,OIVD3m,S
DCI,DCIm,S
DCT,DCT,S
DCTD,DCMPDA,S
DCXR,XYLUR,S
DDC,3HLYTCL,S
DDC,3HXKYNDCL,S
DDC,5HLTDL,S
DDC,5HXKYNDCL,S
DDC,HISDC,S
DDC,LTDCL,S
DDC,PHYCBOXL,S
DDC,TYRCBOX,S
DDOST,DOLASNT_Ler,S
DDOST,DOLASNT_Uer,S
DGAT1,DGAT,S
DGAT2,DGAT,S
DGKA,DAGK_hs,S
DGKE,DAGK_hs,S
DGKG,DAGK_hs,S
DGKI,DAGK_hs,S
DGKI,DAGKn_hs,S
DGKQ,DAGK_hs,S
DHCR24,DHCR241r,S
DHCR24,DHCR242r,S
DHCR24,DHCR243r,S
DHCR7,DHCR71r,S
DHCR7,DHCR72r,S
DHFR,DHFR,S
DHFR,FOLR2,S
DHODH,DHORD9,S
DLAT,PDHm,S
DLST,2OXOADOXm,S
DLST,AKGDm,S
DMGDH,DMGDHm,S
DNMT1,DNAMTSEn,S
DNMT1,DNAMTn,S
DPM1,DOLPMT_L,S
DPM1,DOLPMT_U,S
DPYD,DURAD,S
DPYD,DURAD2,S
DPYS,DHPM1,S
DPYSL2,DHPM1,S
DPYSL3,DHPM1,S
DTYMK,DTMPK,S
DTYMK,NDP8,S
DUOX2,H2O2syn,S
EBP,EBP1r,S
EBP,EBP2r,S
ECH1,C2M26DCOAHLx,S
ECH1,ECOAH1x,S
ECH1,T2M26DCOAHLx,S
ECHDC2,3HBCDm,S
ECHS1,ECOAH12m,S
ECHS1,ECOAH1m,S
ECHS1,ECOAH9m,S
ECHS1,PRPNCOAHYDm,S
EHHADH,C2M26DCOAHLx,S
EHHADH,ECOAH1x,S
EHHADH,FAOXC16080x,S
EHHADH,FAOXC180x,S
EHHADH,FAOXC183806x,S
EHHADH,FAOXC18480x,S
EHHADH,FAOXC200180x,S
EHHADH,FAOXC2051843x,S
EHHADH,FAOXC2242046x,S
EHHADH,FAOXC2251836x,S
EHHADH,FAOXC2252053x,S
EHHADH,FAOXC226205x,S
EHHADH,FAOXC240200x,S
EHHADH,FAOXC241181x,S
EHHADH,FAOXC2442246x,S
EHHADH,FAOXC2452253x,S
EHHADH,FAOXC2452256x,S
EHHADH,FAOXC246226x,S
EHHADH,FAOXC260240x,S
EHHADH,HACD1x,S
EHHADH,PEROXx,S
EHHADH,PRPNCOAHYDx,S
EHHADH,T2M26DCOAHLx,S
EHMT1,LYSMTF1n,S
EHMT1,LYSMTF2n,S
EHMT1,LYSMTF3n,S
ELOVL4,FAEL183,S
ELOVL4,FAEL184,S
ELOVL4,FAEL204,S
ELOVL4,FAEL205,S
ENGASE,ENGASE,S
ENGASE,ENGASE2,S
ENO1,ENO,S
ENO2,ENO,S
ENPP1,DNADDP,S
ENPP1,FADDP,S
ENPP1,NNAT,S
ENPP1,UDPGP,S
ENPP2,DNADDP,S
ENPP2,NNAT,S
ENPP2,UDPGP,S
ENPP3,DNADDP,S
ENPP3,NNAT,S
ENPP3,UDPGP,S
ENTPD1,ATPH1e,S
ENTPD1,ATPH2e,S
ENTPD3,ATPH1e,S
ENTPD3,ATPH2e,S
ENTPD4,NDP7g,S
ENTPD5,ATPH1e,S
ENTPD5,ATPH2e,S
ENTPD6,ATPH1e,S
ENTPD6,ATPH2e,S
EPX,PRDX,S
ESD,SFGTH,S
ETFA,ETF,S
ETFDH,ETFQO,S
ETNK1,ETHAK,S
ETNK2,ETHAK,S
EXT1,GLCAT6g,S
EXT1,GLCAT7g,S
EXT1,GLCAT8g,S
EXT1,GLCAT9g,S
EXT1,GLCNACT2g,S
EXT1,GLCNACT3g,S
EXT1,GLCNACT4g,S
EXT1,GLCNACT5g,S
EXTL1,GLCNACT2g,S
EXTL1,GLCNACT3g,S
EXTL1,GLCNACT4g,S
EXTL1,GLCNACT5g,S
EXTL2,GLCNACT1g,S
EXTL3,GLCNACT1g,S
EXTL3,GLCNACT2g,S
EXTL3,GLCNACT3g,S
EXTL3,GLCNACT4g,S
EXTL3,GLCNACT5g,S
FADS1,DESAT20_1,S
FADS1,DESAT20_2,S
FADS2,DESAT18_10,S
FADS2,DESAT18_6,S
FADS2,DESAT18_7,S
FADS2,DESAT18_8,S
FADS2,DESAT18_9,S
FADS2,DESAT24_1,S
FAH,FUMAC,S
FASN,ACOATA,S
FASN,FAS100COA,S
FASN,FAS120COA,S
FASN,FAS140COA,S
FASN,FAS160COA,S
FASN,FAS180COA,S
FASN,FAS80COA_L,S
FASN,KAS8,S
FASN,MCOATA,S
FBP1,FBP,S
FBP1,FBP26,S
FBP2,FBP,S
FBP2,FBP26,S
FDFT1,SQLSr,S
FDPS,DMATTx,S
FDPS,GRTTx,S
FOLR3,5MTHFt,S
FPGS,FPGS,S
FPGS,FPGS2,S
FPGS,FPGS2m,S
FPGS,FPGS3,S
FPGS,FPGS3m,S
FPGS,FPGS4,S
FPGS,FPGS4m,S
FPGS,FPGS5,S
FPGS,FPGS5m,S
FPGS,FPGS6,S
FPGS,FPGS6m,S
FPGS,FPGS7,S
FPGS,FPGS7m,S
FPGS,FPGS8,S
FPGS,FPGS8m,S
FPGS,FPGS9,S
FPGS,FPGS9m,S
FPGS,FPGSm,S
FPGT,F1PGT,S
FUCA1,FUCASE2ly,S
FUCA1,FUCASEly,S
FUCA2,FUCASE2e,S
FUCA2,FUCASEe,S
FUK,FK,S
FUT1,FUT11g,S
FUT1,FUT12g,S
FUT1,FUT14g,S
FUT1,FUT15g,S
FUT1,FUT16g,S
FUT1,FUT17g,S
FUT1,FUT18g,S
FUT3,FUT31g,S
FUT3,FUT32g,S
FUT3,FUT33g,S
FUT3,FUT34g,S
FUT3,FUT35g,S
FUT9,FUT910g,S
FUT9,FUT911g,S
FUT9,FUT91g,S
FUT9,FUT92g,S
FUT9,FUT93g,S
FUT9,FUT94g,S
FUT9,FUT95g,S
FUT9,FUT96g,S
FUT9,FUT97g,S
FUT9,FUT98g,S
FUT9,FUT99g,S
G6PC,CBPPer,S
G6PC,G6PPer,S
G6PC,PPAer,S
G6PC2,CBPPer,S
G6PC2,G6PPer,S
G6PC2,PPAer,S
G6PC3,CBPPer,S
G6PC3,G6PPer,S
G6PC3,PPAer,S
G6PD,G6PDH2r,S
GAA,MALTly,S
GAA,MLTG1ly,S
GAD2,3SALACBOXL,S
GAD2,GLUDC,S
GAD2,LCYSTCBOXL,S
GAL3ST1,GAL3ST11,S
GAL3ST1,GAL3ST12,S
GALC,GALC,S
GALK1,GALK,S
GALNS,GALASE10ly,S
GALNS,GALASE11ly,S
GALNS,GALASE12ly,S
GALNS,GALASE13ly,S
GALNS,GALASE14ly,S
GALNS,GALASE15ly,S
GALNS,GALASE16ly,S
GALNS,GALASE17ly,S
GALNS,GALASE18ly,S
GALNS,GALASE19ly,S
GALNS,GALASE1ly,S
GALNS,GALASE20ly,S
GALNS,GALASE3ly,S
GALNS,GALASE4ly,S
GALNS,GALASE5ly,S
GALNS,GALASE6ly,S
GALNS,GALASE7ly,S
GALNS,GALASE8ly,S
GALNS,GALASE9ly,S
GALNS,GLB1,S
GALNS,LACZly,S
GALNS,S6TASE10ly,S
GALNS,S6TASE22ly,S
GALNS,S6TASE25ly,S
GALNS,S6TASE4ly,S
GALNS,S6TASE5ly,S
GALNS,S6TASE6ly,S
GALNS,S6TASE7ly,S
GALNS,S6TASE8ly,S
GALNS,S6TASE9ly,S
GALNS,SIAASE2ly,S
GALNS,SIAASE3ly,S
GALNS,SIAASE4ly,S
GALNS,SIAASEly,S
GALNT1,GALNTg,S
GALNT11,GALNTg,S
GALNT12,GALNTg,S
GALNT13,GALNTg,S
GALNT14,GALNTg,S
GALNT2,GALNTg,S
GALNT3,GALNTg,S
GALNT4,GALNTg,S
GALNT5,GALNTg,S
GALNT6,GALNTg,S
GALNT7,GALNTg,S
GALNT8,GALNTg,S
GALNT9,GALNTg,S
GALNTL2,GALNTg,S
GANC,MALT,S
GANC,MLTG1,S
GAPDH,GAPD,S
GAPDHS,GAPD,S
GATM,GLYAMDTRc,S
GBA3,BDG2HCGHD,S
GBE1,GLBRAN,S
GBGT1,GBGT1,S
GCAT,ALASm,S
GCAT,GLYATm,S
GCH1,GTPCI,S
GCH1,GTPCIn,S
GCLC,GLUCYS,S
GCLM,GLUCYS,S
GCNT1,CORE2GTg,S
GCNT1,CORE6GTg,S
GCNT2,GCNTg,S
GCNT3,CORE2GTg,S
GCNT3,CORE4GTg,S
GCNT4,CORE2GTg,S
GCSH,GCC2am,S
GCSH,GCC2bim,S
GCSH,GCC2cm,S
GCSH,GCCam,S
GCSH,GCCbim,S
GCSH,GCCcm,S
GDA,GUAD,S
GFPT2,GF6PTA,S
GGH,GGH_10FTHF5GLUe,S
GGH,GGH_10FTHF5GLUl,S
GGH,GGH_10FTHF6GLUe,S
GGH,GGH_10FTHF6GLUl,S
GGH,GGH_10FTHF7GLUe,S
GGH,GGH_10FTHF7GLUl,S
GGH,GGH_5DHFe,S
GGH,GGH_5DHFl,S
GGH,GGH_5THFe,S
GGH,GGH_5THFl,S
GGH,GGH_6DHFe,S
GGH,GGH_6DHFl,S
GGH,GGH_6THFe,S
GGH,GGH_6THFl,S
GGH,GGH_7DHFe,S
GGH,GGH_7DHFl,S
GGH,GGH_7THFe,S
GGH,GGH_7THFl,S
GGPS1,DMATT,S
GGPS1,FRTT,S
GGPS1,GRTT,S
GGT5,GGT5r,S
GK2,GLYK,S
GK2,GLYKm,S
GLA,GLAl,S
GLB1,GALASE10ly,S
GLB1,GALASE11ly,S
GLB1,GALASE12ly,S
GLB1,GALASE13ly,S
GLB1,GALASE14ly,S
GLB1,GALASE15ly,S
GLB1,GALASE16ly,S
GLB1,GALASE17ly,S
GLB1,GALASE18ly,S
GLB1,GALASE19ly,S
GLB1,GALASE1ly,S
GLB1,GALASE20ly,S
GLB1,GALASE3ly,S
GLB1,GALASE4ly,S
GLB1,GALASE5ly,S
GLB1,GALASE6ly,S
GLB1,GALASE7ly,S
GLB1,GALASE8ly,S
GLB1,GALASE9ly,S
GLB1,GLB1,S
GLB1,LACZly,S
GLB1,S6TASE10ly,S
GLB1,S6TASE22ly,S
GLB1,S6TASE25ly,S
GLB1,S6TASE4ly,S
GLB1,S6TASE5ly,S
GLB1,S6TASE6ly,S
GLB1,S6TASE7ly,S
GLB1,S6TASE8ly,S
GLB1,S6TASE9ly,S
GLB1,SIAASE2ly,S
GLB1,SIAASE3ly,S
GLB1,SIAASE4ly,S
GLB1,SIAASEly,S
GLCE,GLCAE2g,S
GLDC,GCC2am,S
GLDC,GCC2bim,S
GLDC,GCC2cm,S
GLDC,GCCam,S
GLDC,GCCbim,S
GLDC,GCCcm,S
GLO1,LGTHL,S
GLRX,DASCBR,S
GLS,GLUNm,S
GLUD1,GLUDxm,S
GLUD1,GLUDym,S
GLUD2,GLUDxm,S
GLUD2,GLUDym,S
GLUL,GLNS,S
GMDS,GMAND,S
GMPR,GMPR,S
GMPS,GMPS2,S
GNE,AMANK,S
GNE,UAG2EMAi,S
GNMT,GNMT,S
GNPAT,DHAPA,S
GNPAT,DHAPAx,S
GNPDA1,G6PDA,S
GNPDA2,G6PDA,S
GNPNAT1,ACGAM6PSi,S
GNS,S6TASE11ly,S
GNS,S6TASE12ly,S
GNS,S6TASE13ly,S
GNS,S6TASE14ly,S
GNS,S6TASE15ly,S
GNS,S6TASE16ly,S
GNS,S6TASE17ly,S
GNS,S6TASE18ly,S
GNS,S6TASE19ly,S
GNS,S6TASE1ly,S
GNS,S6TASE20ly,S
GNS,S6TASE21ly,S
GNS,S6TASE23ly,S
GNS,S6TASE24ly,S
GNS,S6TASE26ly,S
GNS,S6TASE2ly,S
GNS,S6TASE3ly,S
GOT1,3SALATAi,S
GOT1,ASPTA,S
GOT1,CYSTA,S
GOT1,EHGLAT,S
GOT1,LCYSTAT,S
GOT1,PHETA1,S
GOT1,TYRTA,S
GOT2,3SALATAim,S
GOT2,ASPTAm,S
GOT2,CYSTAm,S
GOT2,EHGLAT2m,S
GOT2,EHGLATm,S
GOT2,LCYSTATm,S
GOT2,PHETA1m,S
GOT2,TYRTAm,S
GPAA1,H7'TAer,S
GPAA1,H8TAer,S
GPAA1,M4ATAer,S
GPAA1,M4BTAer,S
GPAM,GPAM_hs,S
GPAM,GPAMm_hs,S
GPD1,G3PD1,S
GPD2,G3PD2m,S
GPI,PGI,S
GPT,ALATA_L,S
GPT2,ALATA_L,S
GPX2,GTHP,S
GPX3,GTHPe,S
GPX4,GTHP,S
GPX4,GTHPm,S
GPX6,GTHPe,S
GRHPR,GLYCLTDy,S
GRHPR,HPYRRy,S
GRHPR,LALDD,S
GSR,GTHO,S
GSR,GTHOm,S
GSS,GTHS,S
GUCY1A2,GUACYC,S
GUCY1A3,GUACYC,S
GUCY1B2,GUACYC,S
GUCY1B3,GUACYC,S
GUCY2C,GUACYC,S
GUCY2D,GUACYC,S
GUCY2F,GUACYC,S
GUK1,DGK1,S
GUK1,GK1,S
GUSB,GLCAASE1ly,S
GUSB,GLCAASE4ly,S
GUSB,GLCAASE5ly,S
GUSB,GLCAASE6ly,S
GUSB,GLCAASE7ly,S
GUSB,GLCAASE8ly,S
GUSB,GLCAASE9ly,S
GYG1,GGNG,S
GYG1,GLGNS1,S
GYG1,DM_Tyr-ggn[c],S
GYG2,GGNG,S
GYG2,GLGNS1,S
GYG2,DM_Tyr-ggn[c],S
GYS1,GGNG,S
GYS1,GLGNS1,S
GYS2,GGNG,S
GYS2,GLGNS1,S
H6PD,G6PDH1er,S
H6PD,G6PDH1rer,S
H6PD,G6PDH2rer,S
H6PD,PGLer,S
HAAO,3HAO,S
HADH,HACD1m,S
HADHA,ACACT1rm,S
HADHA,C2M26DCOAHLm,S
HADHA,ECOAH12m,S
HADHA,ECOAH1m,S
HADHA,ECOAH9m,S
HADHA,HACD1m,S
HADHA,PRPNCOAHYDm,S
HADHA,T2M26DCOAHLm,S
HADHB,ACACT1rm,S
HADHB,C2M26DCOAHLm,S
HADHB,ECOAH12m,S
HADHB,ECOAH1m,S
HADHB,ECOAH9m,S
HADHB,HACD1m,S
HADHB,PRPNCOAHYDm,S
HADHB,T2M26DCOAHLm,S
HAGH,GLYOX,S
HAGH,GLYOXm,S
HAL,HISD,S
HAO1,GLXO2p,S
HAO1,GLYCTO1p,S
HAS1,HAS1,S
HAS1,HAS2,S
HAS2,HAS1,S
HAS2,HAS2,S
HCST,PI45P3K,S
HCST,PI4P3K,S
HCST,PI5P3K,S
HCST,PIK3,S
HDC,HISDC,S
HEXA,AHEXASE2ly,S
HEXA,AHEXASEly,S
HEXA,NACHEX10ly,S
HEXA,NACHEX11ly,S
HEXA,NACHEX12ly,S
HEXA,NACHEX13ly,S
HEXA,NACHEX14ly,S
HEXA,NACHEX15ly,S
HEXA,NACHEX16ly,S
HEXA,NACHEX17ly,S
HEXA,NACHEX18ly,S
HEXA,NACHEX19ly,S
HEXA,NACHEX1ly,S
HEXA,NACHEX20ly,S
HEXA,NACHEX21ly,S
HEXA,NACHEX22ly,S
HEXA,NACHEX23ly,S
HEXA,NACHEX24ly,S
HEXA,NACHEX25ly,S
HEXA,NACHEX26ly,S
HEXA,NACHEX27ly,S
HEXA,NACHEX2ly,S
HEXA,NACHEX3ly,S
HEXA,NACHEX4ly,S
HEXA,NACHEX5ly,S
HEXA,NACHEX6ly,S
HEXA,NACHEX7ly,S
HEXA,NACHEX8ly,S
HEXA,NACHEX9ly,S
HEXA,NACHEXA10ly,S
HEXA,NACHEXA11ly,S
HEXA,NACHEXA12ly,S
HEXA,NACHEXA13ly,S
HEXA,NACHEXA14ly,S
HEXA,NACHEXA15ly,S
HEXA,NACHEXA16ly,S
HEXA,NACHEXA17ly,S
HEXA,NACHEXA18ly,S
HEXA,NACHEXA19ly,S
HEXA,NACHEXA1ly,S
HEXA,NACHEXA20ly,S
HEXA,NACHEXA21ly,S
HEXA,NACHEXA22ly,S
HEXA,NACHEXA2ly,S
HEXA,NACHEXA3ly,S
HEXA,NACHEXA4ly,S
HEXA,NACHEXA5ly,S
HEXA,NACHEXA6ly,S
HEXA,NACHEXA7ly,S
HEXA,NACHEXA8ly,S
HEXA,NACHEXA9ly,S
HEXB,AHEXASE2ly,S
HEXB,AHEXASEly,S
HEXB,NACHEX10ly,S
HEXB,NACHEX11ly,S
HEXB,NACHEX12ly,S
HEXB,NACHEX13ly,S
HEXB,NACHEX14ly,S
HEXB,NACHEX15ly,S
HEXB,NACHEX16ly,S
HEXB,NACHEX17ly,S
HEXB,NACHEX18ly,S
HEXB,NACHEX19ly,S
HEXB,NACHEX1ly,S
HEXB,NACHEX20ly,S
HEXB,NACHEX21ly,S
HEXB,NACHEX22ly,S
HEXB,NACHEX23ly,S
HEXB,NACHEX24ly,S
HEXB,NACHEX25ly,S
HEXB,NACHEX26ly,S
HEXB,NACHEX27ly,S
HEXB,NACHEX2ly,S
HEXB,NACHEX3ly,S
HEXB,NACHEX4ly,S
HEXB,NACHEX5ly,S
HEXB,NACHEX6ly,S
HEXB,NACHEX7ly,S
HEXB,NACHEX8ly,S
HEXB,NACHEX9ly,S
HEXB,NACHEXA10ly,S
HEXB,NACHEXA11ly,S
HEXB,NACHEXA12ly,S
HEXB,NACHEXA13ly,S
HEXB,NACHEXA14ly,S
HEXB,NACHEXA15ly,S
HEXB,NACHEXA16ly,S
HEXB,NACHEXA17ly,S
HEXB,NACHEXA18ly,S
HEXB,NACHEXA19ly,S
HEXB,NACHEXA1ly,S
HEXB,NACHEXA20ly,S
HEXB,NACHEXA21ly,S
HEXB,NACHEXA22ly,S
HEXB,NACHEXA2ly,S
HEXB,NACHEXA3ly,S
HEXB,NACHEXA4ly,S
HEXB,NACHEXA5ly,S
