genes,reaction
CAD,ASPCTr
CAD,CBPS
CAD,DHORTS
CKB,CKc
CKM,CKc
COX1,CYOOm3
COX2,CYOOm3
DNMT1,DNAMTSEn
DNMT1,DNAMTn
GMPS,GMPS2
IDH2,ICDHyrm
KYNU,HKYNH
KYNU,KYN
KYNU,LFORKYNHYD
PAICS,AIRCr
PAICS,PRASCS
PGLS,PGL
SLC16A1,2HBt2
SLC16A1,ACACt2
SLC16A1,ACACt2m
SLC16A1,ACETONEt2
SLC16A1,ACETONEt2m
SLC16A1,BTNt2
SLC16A1,BTNt2m
SLC16A1,BUTt2m
SLC16A1,BUTt2r
SLC16A1,D_LACt2
SLC16A1,D_LACtm
SLC16A1,L_LACt2r
SLC16A1,L_LACtm
SLC16A1,PYRt2m
SLC16A1,PYRt2p
SLC16A1,PYRt2r
SLC2A1,DHAAt1r
SLC2A1,GALt1r
SLC2A1,GAMt1r
SLC2A1,GLCt1r
SLC2A1,GLCtg
SLC2A1,MANt1r
