genes,reaction,Phase
DCK,DCK1n,G1
DCK,DCK2n,G1
NADK,NADK,G1
NT5C2,NT5C,G1
NT5C2,NTD10,G1
NT5C2,NTD11,G1
NT5C2,NTD6,G1
NT5C2,NTD7,G1
NT5C2,NTD8,G1
NT5C2,NTD9,G1
PDHA1,PDHm,G1
PLCB2,PI45PLC,G1
PLCB2,PI4PLC,G1
PLCB2,PIPLC,G1
SLC38A1,ALAt4,G1
SLC38A1,ASNt4,G1
SLC38A1,GLNt4,G1
SLC38A1,GLYt4,G1
SLC38A1,LEUt4,G1
SLC38A1,METt4,G1
SLC38A1,PHEt4,G1
SLC38A1,PROt4,G1
SLC38A1,SERt4,G1
SLC38A1,THRt4,G1
SLC4A7,HCO3_NAt,G1
SOD1,SPODM,G1
SOD1,SPODMn,G1
SOD1,SPODMx,G1
TKT,TKT1,G1
TKT,TKT2,G1
TKT,TKT1,S
TKT,TKT2,S
DOT1L,LYSMTF1n,G2
DOT1L,LYSMTF2n,G2
TKT,TKT1,G2
TKT,TKT2,G2
